State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
0    |96.6868896484375   |-1.0978717934762017e-12   |[4.9999998807907104, 31.913738250732422]  |1.4332408593276114e-09  |0.07517552375793457     
1    |94.05744171142578   |9.543724144300825e-10   |[4.9999998807907104, 33.79488754272461]  |-1.836775287422654e-09  |0.08193182945251465     
2    |91.42798614501953   |-0.061485543847084045   |[5.000000357627869, 35.62344741821289]  |-0.00023604216403327882  |0.06539773941040039     
3    |88.79855346693688   |-0.06419631652534008   |[4.999996781349182, 37.39941883087158]  |9.731158206705004e-05  |0.06463861465454102     
4    |86.16911316015114   |-0.06704116240143776   |[4.999988436698914, 39.12279987335205]  |0.0002567204646766186  |0.06610369682312012     
5    |83.53967285509732   |-0.06993730552494526   |[4.999972581863403, 40.7935905456543]  |0.0004856005252804607  |0.06588983535766602     
6    |80.91023255361792   |-0.07290633860975504   |[4.999946892261505, 42.41179656982422]  |0.0007974119507707655  |0.06711483001708984     
7    |78.28079225878557   |-0.07593521848320961   |[4.999907612800598, 43.977413177490234]  |0.0011931477347388864  |0.06465363502502441     
8    |75.65135197553862   |-0.0790034607052803   |[4.9998520612716675, 45.49044132232666]  |0.0016924150986596942  |0.06610274314880371     
9    |73.02191171163157   |-0.0821002759039402   |[4.999776303768158, 46.95087814331055]  |0.002309550764039159  |0.08301305770874023     
10    |70.39247147906755   |-0.07027362938970327   |[4.9996755719184875, 48.358726501464844]  |0.003114220453426242  |0.06429290771484375     
11    |67.76301601237937   |-0.08814183063805103   |[4.999550640583038, 49.713985443115234]  |0.003714090446010232  |0.06540656089782715     
12    |65.13358352956705   |-0.0911314319819212   |[4.9993896484375, 51.016658782958984]  |0.004844625946134329  |0.06529617309570312     
13    |62.50413972164108   |-0.09405558928847313   |[4.999185085296631, 52.26674270629883]  |0.00610344996675849  |0.06592321395874023     
14    |59.87470372726077   |-0.09681642986834049   |[4.998928666114807, 53.46423816680908]  |0.007575565949082375  |0.06487607955932617     
15    |57.24526420219616   |-0.09935775771737099   |[4.998609840869904, 54.6091423034668]  |0.00928537268191576  |0.06562638282775879     
16    |54.615825115359634   |-0.10164781473577023   |[4.998217284679413, 55.70145797729492]  |0.011263534426689148  |0.06656622886657715     
17    |51.98639052250199   |-0.13326890766620636   |[4.9977365136146545, 56.74118423461914]  |0.013424243777990341  |0.06520462036132812     
