State n. |  orientation | Speed | Steer | location(x,y) |NearPoint  | distance |controlerlocation 
[60.0, 7.5]  |   28.197306602660078  |[31.913738250732422, 4.9999998807907104] |[60.0, 7.5] | 27.072329101562502 | [30.  37.5 45.  52.5 60. ] | [60.0, 7.5]
0    |2.0588205277144046e-10   | 96.6868896484375  |-1.0978717934762017e-12   |[4.9999998807907104, 31.913738250732422]  |[60.0, 7.5]  |   26.32409389693207  |[33.79488754272461, 4.9999998807907104] |[67.5, 7.5] | 26.33608367919922 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
1    |-5.2233610503103747e-11   | 94.05744171142578  |9.543724144300825e-10   |[4.9999998807907104, 33.79488754272461]  |[60.0, 7.5]  |   24.50441392413922  |[35.62344741821289, 5.000002801418304] |[67.5, 7.5] | 25.59983398437504 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
2    |-0.0003588040959668956   | 91.42797851562513  |-0.5999999865889549   |[5.000002801418304, 35.62344741821289]  |[60.0, 7.5]  |   22.73843541034846  |[37.399417877197266, 4.999973475933075] |[67.5, 7.5] | 24.863586429532138 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
3    |-0.0005504025797515341   | 88.79852296261477  |-1.199999675154686   |[4.999973475933075, 37.399417877197266]  |[60.0, 7.5]  |   21.026371433512356  |[39.122798919677734, 4.999845862388611] |[67.5, 7.5] | 24.127345339846144 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
4    |-0.00026520166515004297   | 86.1690904994505  |-1.799999624490738   |[4.999845862388611, 39.122798919677734]  |[60.0, 7.5]  |   19.368489865083134  |[40.79359531402588, 4.999516308307648] |[67.5, 7.5] | 23.391113099147024 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
5    |0.0011494418610167826   | 83.53968963981079  |-2.3999997973442078   |[4.999516308307648, 40.79359531402588]  |[60.0, 7.5]  |   17.76514920248907  |[42.4118013381958, 4.998841464519501] |[67.5, 7.5] | 22.65489899179684 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
6    |0.003904824908081579   | 80.91035354213157  |-2.999999523162842   |[4.998841464519501, 42.4118013381958]  |[60.0, 7.5]  |   16.216802521926528  |[43.977426528930664, 4.997636437416077] |[67.5, 7.5] | 21.918730390818226 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
7    |0.009061777755672126   | 78.28117996720795  |-3.5999995470046997   |[4.997636437416077, 43.977426528930664]  |[60.0, 7.5]  |   14.72406487468297  |[45.49047088623047, 4.995673477649689] |[67.5, 7.5] | 21.18263859294225 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
8    |0.017466026530147446   | 75.65228068907946  |-4.199999570846558   |[4.995673477649689, 45.49047088623047]  |[60.0, 7.5]  |   13.287759800531514  |[46.95094299316406, 4.992676377296448] |[67.5, 7.5] | 20.4466770609225 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
9    |0.031564652733070464   | 73.02384664615178  |-4.199999570846558   |[4.992676377296448, 46.95094299316406]  |[60.0, 7.5]  |   11.90898724743517  |[48.35885238647461, 4.988494575023651] |[75.0, 7.5] | 19.710814043130856 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
10    |0.05053768754515159   | 70.39576443975305  |-4.199999272823334   |[4.988494575023651, 48.35885238647461]  |[60.0, 7.5]  |   10.589295782431241  |[49.714200019836426, 4.982957303524017] |[75.0, 7.5] | 18.97507477309654 | [60.  67.5 75.  82.5 90. ] | [60.0, 7.5]
